co	strftime('%m-%d-%Y', datetime(login_timestamp, 'unixepoch'))
4	05-01-2018
5	05-02-2018
5	05-03-2018
3	05-04-2018
4	05-05-2018
4	05-06-2018
2	05-07-2018
8	05-08-2018
7	05-09-2018
6	05-10-2018
7	05-11-2018
5	05-12-2018
12	05-13-2018
10	05-14-2018
8	05-15-2018
8	05-16-2018
9	05-17-2018
5	05-18-2018
11	05-19-2018
7	05-20-2018
9	05-21-2018
7	05-22-2018
12	05-23-2018
3	05-24-2018
8	05-25-2018
2	05-26-2018
12	05-27-2018
11	05-28-2018
7	05-29-2018
7	05-30-2018
10	05-31-2018
7	06-01-2018
11	06-02-2018
15	06-03-2018
13	06-04-2018
14	06-05-2018
20	06-06-2018
15	06-07-2018
10	06-08-2018
10	06-09-2018
17	06-10-2018
20	06-11-2018
12	06-12-2018
17	06-13-2018
17	06-14-2018
21	06-15-2018
11	06-16-2018
12	06-17-2018
20	06-18-2018
24	06-19-2018
23	06-20-2018
11	06-21-2018
12	06-22-2018
26	06-23-2018
15	06-24-2018
17	06-25-2018
18	06-26-2018
11	06-27-2018
22	06-28-2018
18	06-29-2018
9	06-30-2018
18	07-01-2018
17	07-02-2018
15	07-03-2018
15	07-04-2018
15	07-05-2018
17	07-06-2018
12	07-07-2018
17	07-08-2018
26	07-09-2018
16	07-10-2018
17	07-11-2018
26	07-12-2018
12	07-13-2018
16	07-14-2018
20	07-15-2018
13	07-16-2018
13	07-17-2018
21	07-18-2018
19	07-19-2018
21	07-20-2018
7	07-21-2018
19	07-22-2018
15	07-23-2018
15	07-24-2018
14	07-25-2018
9	07-26-2018
16	07-27-2018
21	07-28-2018
22	07-29-2018
22	07-30-2018
19	07-31-2018
16	08-01-2018
13	08-02-2018
13	08-03-2018
20	08-04-2018
18	08-05-2018
19	08-06-2018
16	08-07-2018
15	08-08-2018
15	08-09-2018
15	08-10-2018
25	08-11-2018
12	08-12-2018
15	08-13-2018
21	08-14-2018
11	08-15-2018
20	08-16-2018
21	08-17-2018
13	08-18-2018
14	08-19-2018
19	08-20-2018
31	08-21-2018
12	08-22-2018
15	08-23-2018
11	08-24-2018
15	08-25-2018
17	08-26-2018
13	08-27-2018
12	08-28-2018
11	08-29-2018
15	08-30-2018
17	08-31-2018
18	09-01-2018
19	09-02-2018
10	09-03-2018
8	09-04-2018
21	09-05-2018
10	09-06-2018
12	09-07-2018
17	09-08-2018
15	09-09-2018
13	09-10-2018
24	09-11-2018
13	09-12-2018
14	09-13-2018
9	09-14-2018
10	09-15-2018
13	09-16-2018
9	09-17-2018
15	09-18-2018
18	09-19-2018
18	09-20-2018
20	09-21-2018
12	09-22-2018
11	09-23-2018
11	09-24-2018
12	09-25-2018
15	09-26-2018
12	09-27-2018
18	09-28-2018
10	09-29-2018
12	09-30-2018
9	10-01-2018
13	10-02-2018
7	10-03-2018
16	10-04-2018
20	10-05-2018
13	10-06-2018
16	10-07-2018
21	10-08-2018
11	10-09-2018
9	10-10-2018
10	10-11-2018
16	10-12-2018
17	10-13-2018
9	10-14-2018
15	10-15-2018
5	10-16-2018
10	10-17-2018
13	10-18-2018
9	10-19-2018
12	10-20-2018
13	10-21-2018
11	10-22-2018
10	10-23-2018
13	10-24-2018
11	10-25-2018
16	10-26-2018
6	10-27-2018
14	10-28-2018
13	10-29-2018
17	10-30-2018
16	10-31-2018
16	11-01-2018
17	11-02-2018
13	11-03-2018
13	11-04-2018
16	11-05-2018
24	11-06-2018
15	11-07-2018
16	11-08-2018
14	11-09-2018
13	11-10-2018
19	11-11-2018
6	11-12-2018
8	11-13-2018
9	11-14-2018
13	11-15-2018
18	11-16-2018
18	11-17-2018
22	11-18-2018
20	11-19-2018
16	11-20-2018
14	11-21-2018
16	11-22-2018
12	11-23-2018
9	11-24-2018
16	11-25-2018
17	11-26-2018
17	11-27-2018
21	11-28-2018
14	11-29-2018
16	11-30-2018
16	12-01-2018
17	12-02-2018
10	12-03-2018
17	12-04-2018
16	12-05-2018
